iter	Logloss
0	0.5774136054
1	0.4969167936
2	0.424489849
3	0.3800022009
4	0.3433458155
5	0.3155894293
6	0.2948966405
7	0.280081377
8	0.2684636425
9	0.2586469727
10	0.2495435941
11	0.2427997664
12	0.2372591992
13	0.2343969863
14	0.2301656626
15	0.2280436214
16	0.2259715411
17	0.22374159
18	0.2226041233
19	0.2215153903
20	0.2201003628
21	0.2190294732
22	0.2178076564
23	0.2171462054
24	0.216165498
25	0.2153805871
26	0.2145492174
27	0.213965581
28	0.2130271066
29	0.2124818313
30	0.2120846507
31	0.2115352616
32	0.2112222485
33	0.2108294206
34	0.2103118765
35	0.2098681517
36	0.2095782973
37	0.2093303205
38	0.209080693
39	0.2088992517
40	0.208683379
41	0.2084352599
42	0.2082884325
43	0.2079717336
44	0.2078457476
45	0.2076979777
46	0.2075457419
47	0.2073569469
48	0.2072198535
49	0.2068992595
50	0.2067562628
51	0.2065659775
52	0.2064189427
53	0.2062594101
54	0.2060787629
55	0.2058995505
56	0.2057821507
57	0.2056428738
58	0.2054436687
59	0.2053166895
60	0.2052192906
61	0.2050807843
62	0.2049636731
63	0.2048636068
64	0.2047502543
65	0.2046646475
66	0.2045146396
67	0.2044215705
68	0.2042527393
69	0.2041230485
70	0.2040227338
71	0.2038366986
72	0.2037287358
73	0.2036676733
74	0.2035781617
75	0.2033791753
76	0.203136849
77	0.2030541474
78	0.2029760808
79	0.2027519198
80	0.2026549448
81	0.2025370309
82	0.2024224449
83	0.2023056585
84	0.202228006
85	0.20210456
86	0.2020084377
87	0.2019033385
88	0.2017790393
89	0.2016419624
90	0.2014613081
91	0.2013618791
92	0.2012698124
93	0.2011598536
94	0.2010479289
95	0.2008982904
96	0.2008280962
97	0.2007489225
98	0.2006456361
99	0.2005522025
100	0.200458372
101	0.2003080656
102	0.2002320391
103	0.2000928315
104	0.1999752389
105	0.1998568635
106	0.1997560509
107	0.1996918721
108	0.1995974144
109	0.1994922736
110	0.1993155068
111	0.1992179162
112	0.1991302754
113	0.1990350067
114	0.1988971352
115	0.1988155768
116	0.1987516647
117	0.1986194028
118	0.1985259272
119	0.1984240373
120	0.1982762823
121	0.1981481879
122	0.1980692231
123	0.197987061
124	0.197912869
125	0.1978124269
126	0.1977065697
127	0.1975788552
128	0.1975109629
129	0.1973840214
130	0.1972551427
131	0.1971247932
