iter	Passed	Remaining
0	4	2077
1	7	1967
2	12	2134
3	18	2254
4	22	2263
5	27	2241
6	32	2306
7	37	2296
8	43	2395
9	48	2396
10	54	2426
11	60	2454
12	65	2441
13	70	2438
14	75	2425
15	80	2440
16	85	2419
17	89	2405
18	96	2431
19	101	2432
20	111	2553
21	118	2579
22	123	2556
23	128	2556
24	133	2536
25	137	2514
26	142	2496
27	146	2474
28	151	2458
29	156	2452
30	161	2448
31	167	2450
32	171	2428
33	175	2407
34	181	2415
35	186	2401
36	191	2392
37	195	2373
38	199	2359
39	204	2347
40	208	2333
41	213	2330
42	218	2320
43	222	2306
44	227	2300
45	232	2295
46	237	2284
47	241	2271
48	245	2260
49	250	2255
50	255	2251
51	259	2239
52	263	2226
53	269	2224
54	273	2216
55	277	2202
56	282	2197
57	288	2196
58	298	2228
59	306	2247
60	317	2281
61	338	2393
62	345	2396
63	353	2410
64	358	2399
65	363	2391
66	368	2381
67	374	2376
68	378	2366
69	384	2359
70	388	2345
71	392	2335
72	397	2327
73	402	2319
74	407	2308
75	412	2300
76	417	2293
77	422	2287
78	428	2280
79	432	2271
80	437	2261
81	441	2251
82	448	2252
83	452	2238
84	457	2234
85	462	2225
86	467	2218
87	471	2209
88	476	2200
89	481	2194
90	486	2187
91	491	2181
92	498	2180
93	504	2180
94	514	2191
95	520	2189
96	524	2180
97	530	2174
98	534	2166
99	540	2160
100	544	2150
101	549	2142
102	554	2136
103	559	2129
104	563	2119
105	569	2116
106	573	2107
107	580	2106
108	584	2098
109	590	2094
110	595	2086
111	600	2081
112	606	2078
113	612	2072
114	617	2066
115	622	2060
116	627	2054
117	633	2049
118	638	2045
119	643	2037
120	647	2029
121	652	2022
122	656	2013
123	661	2006
124	667	2001
125	671	1992
126	676	1987
127	682	1983
128	687	1977
129	692	1971
130	699	1970
131	709	1977
132	717	1978
133	722	1972
134	727	1966
135	732	1960
136	737	1954
137	742	1947
138	747	1940
139	752	1934
140	757	1929
141	762	1922
142	768	1917
143	772	1908
144	776	1901
145	781	1894
146	785	1886
147	789	1878
148	794	1871
149	799	1864
150	804	1859
151	808	1851
152	813	1845
153	818	1837
154	822	1831
155	827	1824
156	832	1818
157	837	1813
158	842	1806
159	846	1797
160	851	1792
161	855	1785
162	860	1779
163	866	1775
164	871	1768
165	876	1763
166	882	1760
167	888	1755
168	894	1751
169	903	1754
170	912	1755
171	917	1749
172	922	1743
173	927	1736
174	931	1730
175	936	1723
176	941	1718
177	946	1711
178	951	1706
179	956	1699
180	960	1693
181	965	1687
182	971	1682
183	975	1675
184	980	1669
185	985	1664
186	991	1659
187	997	1654
188	1002	1648
189	1006	1642
190	1011	1636
191	1016	1630
192	1021	1625
193	1026	1619
194	1031	1613
195	1036	1608
196	1042	1603
197	1046	1596
198	1051	1591
199	1057	1586
200	1062	1579
201	1067	1574
202	1072	1569
203	1077	1563
204	1083	1558
205	1088	1553
206	1095	1550
207	1101	1546
208	1111	1547
209	1118	1544
210	1123	1538
211	1129	1533
212	1134	1528
213	1140	1524
214	1145	1518
215	1150	1512
216	1154	1506
217	1160	1501
218	1165	1495
219	1171	1490
220	1175	1484
221	1180	1478
222	1184	1471
223	1189	1465
224	1194	1459
225	1199	1453
226	1204	1448
227	1208	1441
228	1213	1435
229	1218	1430
230	1223	1424
231	1228	1419
232	1233	1414
233	1238	1408
234	1244	1402
235	1249	1397
236	1254	1391
237	1259	1386
238	1263	1379
239	1268	1373
240	1272	1368
241	1277	1361
242	1282	1356
243	1288	1351
244	1294	1347
245	1300	1342
246	1309	1341
247	1315	1336
248	1320	1330
249	1325	1325
250	1329	1319
251	1334	1313
252	1339	1307
253	1344	1301
254	1348	1295
255	1353	1289
256	1358	1284
257	1363	1278
258	1368	1273
259	1373	1267
